key,value,timestamp,topic,partition,offset
b'BTC/EUR',"{""price"": 79550.3, ""pair"": ""BTC/EUR"", ""volume"": 0.00116247, ""timestamp"": ""2025-03-08T13:21:29.830764Z"", ""timestamp_ms"": 1741440089830}",1741440090053,trade,0,4052
b'BTC/USD',"{""price"": 86130.6, ""pair"": ""BTC/USD"", ""volume"": 0.00580322, ""timestamp"": ""2025-03-08T13:21:31.110614Z"", ""timestamp_ms"": 1741440091110}",1741440091339,trade,0,4053
b'ETH/USD',"{""price"": 2168.49, ""pair"": ""ETH/USD"", ""volume"": 0.01420275, ""timestamp"": ""2025-03-08T13:21:38.057178Z"", ""timestamp_ms"": 1741440098057}",1741440098278,trade,0,4054
b'ETH/EUR',"{""price"": 2002.65, ""pair"": ""ETH/EUR"", ""volume"": 0.04396225, ""timestamp"": ""2025-03-08T13:21:38.132868Z"", ""timestamp_ms"": 1741440098132}",1741440098383,trade,0,4055
b'BTC/EUR',"{""price"": 79550.3, ""pair"": ""BTC/EUR"", ""volume"": 0.00025313, ""timestamp"": ""2025-03-08T13:21:41.002337Z"", ""timestamp_ms"": 1741440101002}",1741440101228,trade,0,4056
b'ETH/USD',"{""price"": 2168.7, ""pair"": ""ETH/USD"", ""volume"": 0.31483014, ""timestamp"": ""2025-03-08T13:21:41.279945Z"", ""timestamp_ms"": 1741440101279}",1741440101519,trade,0,4057
b'BTC/EUR',"{""price"": 79550.3, ""pair"": ""BTC/EUR"", ""volume"": 0.00013458, ""timestamp"": ""2025-03-08T13:21:46.394186Z"", ""timestamp_ms"": 1741440106394}",1741440106615,trade,0,4058
b'BTC/USD',"{""price"": 86132.8, ""pair"": ""BTC/USD"", ""volume"": 0.00114384, ""timestamp"": ""2025-03-08T13:21:47.034754Z"", ""timestamp_ms"": 1741440107034}",1741440107277,trade,0,4059
b'ETH/EUR',"{""price"": 2002.83, ""pair"": ""ETH/EUR"", ""volume"": 0.14436629, ""timestamp"": ""2025-03-08T13:21:49.316054Z"", ""timestamp_ms"": 1741440109316}",1741440109540,trade,0,4060
b'BTC/EUR',"{""price"": 79550.3, ""pair"": ""BTC/EUR"", ""volume"": 0.0006935, ""timestamp"": ""2025-03-08T13:21:50.144189Z"", ""timestamp_ms"": 1741440110144}",1741440110367,trade,0,4061
b'BTC/EUR',"{""price"": 79550.3, ""pair"": ""BTC/EUR"", ""volume"": 0.01223422, ""timestamp"": ""2025-03-08T13:21:50.317230Z"", ""timestamp_ms"": 1741440110317}",1741440110541,trade,0,4062
b'ETH/EUR',"{""price"": 2002.82, ""pair"": ""ETH/EUR"", ""volume"": 0.00438069, ""timestamp"": ""2025-03-08T13:21:52.905034Z"", ""timestamp_ms"": 1741440112905}",1741440113148,trade,0,4063
b'BTC/EUR',"{""price"": 79543.5, ""pair"": ""BTC/EUR"", ""volume"": 0.00586, ""timestamp"": ""2025-03-08T13:21:54.412394Z"", ""timestamp_ms"": 1741440114412}",1741440114636,trade,0,4064
b'BTC/EUR',"{""price"": 79543.5, ""pair"": ""BTC/EUR"", ""volume"": 0.00025317, ""timestamp"": ""2025-03-08T13:22:00.012736Z"", ""timestamp_ms"": 1741440120012}",1741440120234,trade,0,4065
b'BTC/EUR',"{""price"": 79543.5, ""pair"": ""BTC/EUR"", ""volume"": 0.0001, ""timestamp"": ""2025-03-08T13:22:00.066655Z"", ""timestamp_ms"": 1741440120066}",1741440120289,trade,0,4066
b'ETH/USD',"{""price"": 2169.17, ""pair"": ""ETH/USD"", ""volume"": 0.00666717, ""timestamp"": ""2025-03-08T13:22:00.388638Z"", ""timestamp_ms"": 1741440120388}",1741440120613,trade,0,4067
b'ETH/USD',"{""price"": 2169.46, ""pair"": ""ETH/USD"", ""volume"": 0.01605763, ""timestamp"": ""2025-03-08T13:22:00.388638Z"", ""timestamp_ms"": 1741440120388}",1741440120619,trade,0,4068
b'BTC/EUR',"{""price"": 79543.4, ""pair"": ""BTC/EUR"", ""volume"": 0.00170548, ""timestamp"": ""2025-03-08T13:22:01.502929Z"", ""timestamp_ms"": 1741440121502}",1741440121830,trade,0,4069
b'BTC/USD',"{""price"": 86132.8, ""pair"": ""BTC/USD"", ""volume"": 0.00152227, ""timestamp"": ""2025-03-08T13:22:01.593167Z"", ""timestamp_ms"": 1741440121593}",1741440121901,trade,0,4070
b'BTC/EUR',"{""price"": 79543.4, ""pair"": ""BTC/EUR"", ""volume"": 0.00159476, ""timestamp"": ""2025-03-08T13:22:02.586200Z"", ""timestamp_ms"": 1741440122586}",1741440122849,trade,0,4071
b'ETH/USD',"{""price"": 2170.26, ""pair"": ""ETH/USD"", ""volume"": 0.3511799, ""timestamp"": ""2025-03-08T13:22:07.342347Z"", ""timestamp_ms"": 1741440127342}",1741440127585,trade,0,4072
b'ETH/USD',"{""price"": 2170.26, ""pair"": ""ETH/USD"", ""volume"": 0.07950876, ""timestamp"": ""2025-03-08T13:22:07.342347Z"", ""timestamp_ms"": 1741440127342}",1741440127585,trade,0,4073
b'ETH/USD',"{""price"": 2170.76, ""pair"": ""ETH/USD"", ""volume"": 0.01808984, ""timestamp"": ""2025-03-08T13:22:07.342347Z"", ""timestamp_ms"": 1741440127342}",1741440127586,trade,0,4074
b'ETH/USD',"{""price"": 2170.77, ""pair"": ""ETH/USD"", ""volume"": 0.0119888, ""timestamp"": ""2025-03-08T13:22:07.342347Z"", ""timestamp_ms"": 1741440127342}",1741440127586,trade,0,4075
b'BTC/EUR',"{""price"": 79543.5, ""pair"": ""BTC/EUR"", ""volume"": 0.0007, ""timestamp"": ""2025-03-08T13:22:08.152171Z"", ""timestamp_ms"": 1741440128152}",1741440128383,trade,0,4076
b'BTC/EUR',"{""price"": 79543.5, ""pair"": ""BTC/EUR"", ""volume"": 0.00164627, ""timestamp"": ""2025-03-08T13:22:14.844812Z"", ""timestamp_ms"": 1741440134844}",1741440135070,trade,0,4077
b'ETH/USD',"{""price"": 2171.28, ""pair"": ""ETH/USD"", ""volume"": 0.00907407, ""timestamp"": ""2025-03-08T13:22:15.266712Z"", ""timestamp_ms"": 1741440135266}",1741440135491,trade,0,4078
b'ETH/EUR',"{""price"": 2005.43, ""pair"": ""ETH/EUR"", ""volume"": 0.02060364, ""timestamp"": ""2025-03-08T13:22:16.662840Z"", ""timestamp_ms"": 1741440136662}",1741440137088,trade,0,4079
b'BTC/USD',"{""price"": 86140.0, ""pair"": ""BTC/USD"", ""volume"": 5.12e-05, ""timestamp"": ""2025-03-08T13:22:17.389265Z"", ""timestamp_ms"": 1741440137389}",1741440137733,trade,0,4080
b'BTC/USD',"{""price"": 86145.3, ""pair"": ""BTC/USD"", ""volume"": 0.00022148, ""timestamp"": ""2025-03-08T13:22:17.389265Z"", ""timestamp_ms"": 1741440137389}",1741440137734,trade,0,4081
b'BTC/EUR',"{""price"": 79550.3, ""pair"": ""BTC/EUR"", ""volume"": 0.00025314, ""timestamp"": ""2025-03-08T13:22:18.998490Z"", ""timestamp_ms"": 1741440138998}",1741440139221,trade,0,4082
b'BTC/USD',"{""price"": 86151.9, ""pair"": ""BTC/USD"", ""volume"": 6.12e-05, ""timestamp"": ""2025-03-08T13:22:19.081091Z"", ""timestamp_ms"": 1741440139081}",1741440139301,trade,0,4083
b'BTC/USD',"{""price"": 86151.9, ""pair"": ""BTC/USD"", ""volume"": 0.00146049, ""timestamp"": ""2025-03-08T13:22:19.081091Z"", ""timestamp_ms"": 1741440139081}",1741440139302,trade,0,4084
b'BTC/EUR',"{""price"": 79550.2, ""pair"": ""BTC/EUR"", ""volume"": 0.00026581, ""timestamp"": ""2025-03-08T13:22:19.632521Z"", ""timestamp_ms"": 1741440139632}",1741440139854,trade,0,4085
b'BTC/USD',"{""price"": 86151.9, ""pair"": ""BTC/USD"", ""volume"": 0.00597043, ""timestamp"": ""2025-03-08T13:22:19.907718Z"", ""timestamp_ms"": 1741440139907}",1741440140127,trade,0,4086
b'ETH/EUR',"{""price"": 2006.12, ""pair"": ""ETH/EUR"", ""volume"": 0.05407511, ""timestamp"": ""2025-03-08T13:22:20.752905Z"", ""timestamp_ms"": 1741440140752}",1741440141255,trade,0,4087
b'ETH/EUR',"{""price"": 2006.11, ""pair"": ""ETH/EUR"", ""volume"": 0.02082453, ""timestamp"": ""2025-03-08T13:22:20.752905Z"", ""timestamp_ms"": 1741440140752}",1741440141256,trade,0,4088
b'BTC/USD',"{""price"": 86159.0, ""pair"": ""BTC/USD"", ""volume"": 7.12e-05, ""timestamp"": ""2025-03-08T13:22:31.659765Z"", ""timestamp_ms"": 1741440151659}",1741440151904,trade,0,4089
b'BTC/USD',"{""price"": 86174.7, ""pair"": ""BTC/USD"", ""volume"": 0.00015471, ""timestamp"": ""2025-03-08T13:22:31.659765Z"", ""timestamp_ms"": 1741440151659}",1741440151905,trade,0,4090
b'BTC/EUR',"{""price"": 79550.3, ""pair"": ""BTC/EUR"", ""volume"": 0.00025312, ""timestamp"": ""2025-03-08T13:22:37.691633Z"", ""timestamp_ms"": 1741440157691}",1741440158051,trade,0,4091
b'ETH/USD',"{""price"": 2173.84, ""pair"": ""ETH/USD"", ""volume"": 0.01942953, ""timestamp"": ""2025-03-08T13:22:37.884535Z"", ""timestamp_ms"": 1741440157884}",1741440158260,trade,0,4092
b'ETH/USD',"{""price"": 2173.84, ""pair"": ""ETH/USD"", ""volume"": 0.046423, ""timestamp"": ""2025-03-08T13:22:37.895897Z"", ""timestamp_ms"": 1741440157895}",1741440158292,trade,0,4093
b'ETH/USD',"{""price"": 2173.97, ""pair"": ""ETH/USD"", ""volume"": 0.00526245, ""timestamp"": ""2025-03-08T13:22:37.899161Z"", ""timestamp_ms"": 1741440157899}",1741440158321,trade,0,4094
b'ETH/EUR',"{""price"": 2007.85, ""pair"": ""ETH/EUR"", ""volume"": 0.16899544, ""timestamp"": ""2025-03-08T13:22:37.910109Z"", ""timestamp_ms"": 1741440157910}",1741440158364,trade,0,4095
b'ETH/USD',"{""price"": 2174.12, ""pair"": ""ETH/USD"", ""volume"": 0.252135, ""timestamp"": ""2025-03-08T13:22:37.910490Z"", ""timestamp_ms"": 1741440157910}",1741440158389,trade,0,4096
b'ETH/USD',"{""price"": 2174.35, ""pair"": ""ETH/USD"", ""volume"": 0.758144, ""timestamp"": ""2025-03-08T13:22:37.925275Z"", ""timestamp_ms"": 1741440157925}",1741440158426,trade,0,4097
